GROUPE;MOT;REMPLACE;REMARQUES;;;;;;;;;;;
Pronoms et adjectifs démonstratifs;ce;;;;;;;;;;;;;
Pronoms et adjectifs démonstratifs;ceci;;;;;;;;;;;;;
Pronoms et adjectifs démonstratifs;cela;;;;;;;;;;;;;
Pronoms et adjectifs démonstratifs;celle;;;;;;;;;;;;;
Pronoms et adjectifs démonstratifs;celle-ci;;;;;;;;;;;;;
Pronoms et adjectifs démonstratifs;celle-là;;;;;;;;;;;;;
Pronoms et adjectifs démonstratifs;celles;;;;;;;;;;;;;
Pronoms et adjectifs démonstratifs;celles-ci;;;;;;;;;;;;;
Pronoms et adjectifs démonstratifs;celles-là;;;;;;;;;;;;;
Pronoms et adjectifs démonstratifs;celui;;;;;;;;;;;;;
Pronoms et adjectifs démonstratifs;celui-ci;;;;;;;;;;;;;
Pronoms et adjectifs démonstratifs;celui-là;;;;;;;;;;;;;
Pronoms et adjectifs démonstratifs;ces;;;;;;;;;;;;;
Pronoms et adjectifs démonstratifs;cet;;;;;;;;;;;;;
Pronoms et adjectifs démonstratifs;cette;;;;;;;;;;;;;
Pronoms et adjectifs démonstratifs;ceux;;;;;;;;;;;;;
Pronoms et adjectifs démonstratifs;ceux-ci;;;;;;;;;;;;;
Pronoms et adjectifs démonstratifs;ceux-là;;;;;;;;;;;;;
Pronoms et adjectifs démonstratifs;ci;;;;;;;;;;;;;
Pronoms et adjectifs démonstratifs;là;;;;;;;;;;;;;
Pronoms et adjectifs indéfinis;aucun;;;;;;;;;;;;;
Pronoms et adjectifs indéfinis;autre;;;;;;;;;;;;;
Pronoms et adjectifs indéfinis;autres;;;;;;;;;;;;;
Pronoms et adjectifs indéfinis;beaucoup;;;;;;;;;;;;;
Pronoms et adjectifs indéfinis;certain;;;;;;;;;;;;;
Pronoms et adjectifs indéfinis;certains;;;;;;;;;;;;;
Pronoms et adjectifs indéfinis;chacun;;;;;;;;;;;;;
Pronoms et adjectifs indéfinis;chaque;;;;;;;;;;;;;
Pronoms et adjectifs indéfinis;d'aucuns;;;;;;;;;;;;;
Pronoms et adjectifs indéfinis;d'autres;;;;;;;;;;;;;
Pronoms et adjectifs indéfinis;différent;;;;;;;;;;;;;
Pronoms et adjectifs indéfinis;différents;;;;;;;;;;;;;
Pronoms et adjectifs indéfinis;divers;;;;;;;;;;;;;
Pronoms et adjectifs indéfinis;diverses;;;;;;;;;;;;;
Pronoms et adjectifs indéfinis;l'un;;;;;;;;;;;;;
Pronoms et adjectifs indéfinis;l'une;;;;;;;;;;;;;
Pronoms et adjectifs indéfinis;maint;;;;;;;;;;;;;
Pronoms et adjectifs indéfinis;maintes;;;;;;;;;;;;;
Pronoms et adjectifs indéfinis;même;;;;;;;;;;;;;
Pronoms et adjectifs indéfinis;n'importe;;;;;;;;;;;;;
Pronoms et adjectifs indéfinis;nul;;;;;;;;;;;;;
Pronoms et adjectifs indéfinis;nuls;;;;;;;;;;;;;
Pronoms et adjectifs indéfinis;pas;;;;;;;;;;;;;
Pronoms et adjectifs indéfinis;pas-un;;;;;;;;;;;;;
Pronoms et adjectifs indéfinis;personne;;;;;;;;;;;;;
Pronoms et adjectifs indéfinis;peu;;;;;;;;;;;;;
Pronoms et adjectifs indéfinis;plupart;;;;;;;;;;;;;
Pronoms et adjectifs indéfinis;plusieurs;;;;;;;;;;;;;
Pronoms et adjectifs indéfinis;quelconque;;;;;;;;;;;;;
Pronoms et adjectifs indéfinis;quelque;;;;;;;;;;;;;
Pronoms et adjectifs indéfinis;quelque;;;;;;;;;;;;;
Pronoms et adjectifs indéfinis;quelques-unes;;;;;;;;;;;;;
Pronoms et adjectifs indéfinis;quelques-uns;;;;;;;;;;;;;
Pronoms et adjectifs indéfinis;quelqu'un;;;;;;;;;;;;;
Pronoms et adjectifs indéfinis;rien;;;;;;;;;;;;;
Pronoms et adjectifs indéfinis;tel;;;;;;;;;;;;;
Pronoms et adjectifs indéfinis;telle;;;;;;;;;;;;;
Pronoms et adjectifs indéfinis;telles;;;;;;;;;;;;;
Pronoms et adjectifs indéfinis;tels;;;;;;;;;;;;;
Pronoms et adjectifs indéfinis;tous;;;;;;;;;;;;;
Pronoms et adjectifs indéfinis;tout;;;;;;;;;;;;;
Pronoms et adjectifs indéfinis;toutes;;;;;;;;;;;;;
Pronoms et adjectifs indéfinis;toutes;;;;;;;;;;;;;
Pronoms et adjectifs possessifs;leur;;;;;;;;;;;;;
Pronoms et adjectifs possessifs;leurs;;;;;;;;;;;;;
Pronoms et adjectifs possessifs;ma;;;;;;;;;;;;;
Pronoms et adjectifs possessifs;mes;;;;;;;;;;;;;
Pronoms et adjectifs possessifs;mien;;;;;;;;;;;;;
Pronoms et adjectifs possessifs;mien;;;;;;;;;;;;;
Pronoms et adjectifs possessifs;mienne;;;;;;;;;;;;;
Pronoms et adjectifs possessifs;miennes;;;;;;;;;;;;;
Pronoms et adjectifs possessifs;mon;;;;;;;;;;;;;
